"Datum","Sonnenaufgang","Sonnenuntergang","Sonnenlicht (Std.)","DST"
"Sonntag, 01. August 2010","05:57","20:57","15:00","ja"
"Montag, 02. August 2010","05:58","20:56","14:57","ja"
"Dienstag, 03. August 2010","06:00","20:55","14:54","ja"
"Mittwoch, 04. August 2010","06:01","20:53","14:52","ja"
"Donnerstag, 05. August 2010","06:02","20:52","14:49","ja"
"Freitag, 06. August 2010","06:04","20:50","14:46","ja"
"Samstag, 07. August 2010","06:05","20:49","14:43","ja"
"Sonntag, 08. August 2010","06:06","20:47","14:40","ja"
"Montag, 09. August 2010","06:07","20:45","14:37","ja"
"Dienstag, 10. August 2010","06:09","20:44","14:35","ja"
"Mittwoch, 11. August 2010","06:10","20:42","14:32","ja"
"Donnerstag, 12. August 2010","06:11","20:40","14:29","ja"
"Freitag, 13. August 2010","06:13","20:39","14:26","ja"
"Samstag, 14. August 2010","06:14","20:37","14:23","ja"
"Sonntag, 15. August 2010","06:15","20:35","14:19","ja"
"Montag, 16. August 2010","06:17","20:34","14:16","ja"
"Dienstag, 17. August 2010","06:18","20:32","14:13","ja"
"Mittwoch, 18. August 2010","06:19","20:30","14:10","ja"
"Donnerstag, 19. August 2010","06:21","20:28","14:07","ja"
"Freitag, 20. August 2010","06:22","20:26","14:04","ja"
"Samstag, 21. August 2010","06:23","20:25","14:01","ja"
"Sonntag, 22. August 2010","06:25","20:23","13:57","ja"
"Montag, 23. August 2010","06:26","20:21","13:54","ja"
"Dienstag, 24. August 2010","06:27","20:19","13:51","ja"
"Mittwoch, 25. August 2010","06:29","20:17","13:48","ja"
"Donnerstag, 26. August 2010","06:30","20:15","13:45","ja"
"Freitag, 27. August 2010","06:32","20:13","13:41","ja"
"Samstag, 28. August 2010","06:33","20:11","13:38","ja"
"Sonntag, 29. August 2010","06:34","20:09","13:35","ja"
"Montag, 30. August 2010","06:36","20:08","13:31","ja"
"Dienstag, 31. August 2010","06:37","20:06","13:28","ja"
